# Generated by tools/build_taipei_places.py -- edit that, not this.
# name	reading	kind	corpus count, rescaled onto phrase.occ
七張	qi zhang	station	8.20
七張站	qi zhang zhan	station	0.99
三和國中	san he guo zhong	station	0.72
三和國中站	san he guo zhong zhan	station	0.28
三民高中	san min gao zhong	station	2.00
三民高中站	san min gao zhong zhan	station	0.36
三重	san chong	station	162.95
三重國小	san chong guo xiao	station	1.32
三重國小站	san chong guo xiao zhan	station	0.80
三重站	san chong zhan	station	1.87
世貿	shi mao	station	54.07
世貿站	shi mao zhan	station	1.50
中山	zhong shan	station	438.21
中山國中	zhong shan guo zhong	station	5.17
中山國中站	zhong shan guo zhong zhan	station	1.92
中山國小	zhong shan guo xiao	station	6.46
中山國小站	zhong shan guo xiao zhan	station	1.70
中山站	zhong shan zhan	station	13.44
中正紀念堂	zhong zheng ji nian tang	station	23.62
中正紀念堂站	zhong zheng ji nian tang zhan	station	1.80
丹鳳	dan feng	station	10.99
丹鳳站	dan feng zhan	station	0.78
亞東醫院	ya dong yi yuan	station	10.56
亞東醫院站	ya dong yi yuan zhan	station	0.75
信義安和	xin yi an he	station	3.81
信義安和站	xin yi an he zhan	station	2.57
先嗇宮	xian se gong	station	1.42
先嗇宮站	xian se gong zhan	station	0.38
內湖	nei hu	station	104.91
內湖站	nei hu zhan	station	1.21
公館	gong guan	station	60.02
公館站	gong guan zhan	station	2.66
六張犁	liu zhang li	station	5.20
六張犁站	liu zhang li zhan	station	1.48
劍南路	jian nan lu	station	2.10
劍南路站	jian nan lu zhan	station	1.39
劍潭	jian tan	station	10.90
劍潭站	jian tan zhan	station	3.35
動物園	dong wu yuan	station	144.46
動物園站	dong wu yuan zhan	station	1.93
北投	bei tou	station	129.86
北投站	bei tou zhan	station	3.76
北門	bei men	station	57.54
北門站	bei men zhan	station	2.68
南京三民	nan jing san min	station	2.70
南京三民站	nan jing san min zhan	station	1.73
南京復興	nan jing fu xing	station	5.70
南京復興站	nan jing fu xing zhan	station	3.36
南勢角	nan shi jiao	station	8.94
南勢角站	nan shi jiao zhan	station	1.28
南港	nan gang	station	120.61
南港展覽館	nan gang zhan lan guan	station	22.12
南港展覽館站	nan gang zhan lan guan zhan	station	1.56
南港站	nan gang zhan	station	2.90
南港軟體園區	nan gang ruan ti yuan qu	station	2.25
南港軟體園區站	nan gang ruan ti yuan qu zhan	station	0.44
古亭	gu ting	station	15.03
古亭站	gu ting zhan	station	3.26
台北小巨蛋	tai bei xiao ju dan	station	21.70
台北小巨蛋站	tai bei xiao ju dan zhan	station	0.51
台北橋	tai bei qiao	station	4.00
台北橋站	tai bei qiao zhan	station	0.86
台北車站	tai bei che zhan	station	42.62
台大醫院	tai da yi yuan	station	44.25
台大醫院站	tai da yi yuan zhan	station	0.85
台電大樓	tai dian da lou	station	3.62
台電大樓站	tai dian da lou zhan	station	1.54
唭哩岸	qi li an	station	1.72
唭哩岸站	qi li an zhan	station	0.44
善導寺	shan dao si	station	3.74
善導寺站	shan dao si zhan	station	2.01
國父紀念館	guo fu ji nian guan	station	20.31
國父紀念館站	guo fu ji nian guan zhan	station	3.73
圓山	yuan shan	station	49.13
圓山站	yuan shan zhan	station	2.80
土城	tu cheng	station	53.23
土城站	tu cheng zhan	station	0.70
士林	shi lin	station	134.09
士林站	shi lin zhan	station	3.10
大坪林	da ping lin	station	5.01
大坪林站	da ping lin zhan	station	1.96
大安	da an	station	169.29
大安森林公園	da an sen lin gong yuan	station	14.83
大安森林公園站	da an sen lin gong yuan zhan	station	0.66
大安站	da an zhan	station	3.26
大橋頭	da qiao tou	station	5.76
大橋頭站	da qiao tou zhan	station	1.99
大湖公園	da hu gong yuan	station	3.77
大湖公園站	da hu gong yuan zhan	station	0.70
大直	da zhi	station	65.02
大直站	da zhi zhan	station	0.80
奇岩	qi yan	station	15.10
奇岩站	qi yan zhan	station	0.50
奉天宮	feng tian gong	station	6.55
奉天宮站	feng tian gong zhan	station	0.08
小南門	xiao nan men	station	2.42
小南門站	xiao nan men zhan	station	0.45
小碧潭	xiao bi tan	station	2.12
小碧潭站	xiao bi tan zhan	station	0.80
市政府	shi zheng fu	station	507.32
市政府站	shi zheng fu zhan	station	6.21
府中	fu zhong	station	38.06
府中站	fu zhong zhan	station	3.42
廣慈	guang ci	station	2.47
後山埤	hou shan pi	station	2.10
後山埤站	hou shan pi zhan	station	0.77
徐匯中學	xu hui zhong xue	station	1.21
徐匯中學站	xu hui zhong xue zhan	station	0.52
復興崗	fu xing gang	station	1.21
復興崗站	fu xing gang zhan	station	0.32
忠孝復興	zhong xiao fu xing	station	9.05
忠孝復興站	zhong xiao fu xing zhan	station	5.44
忠孝敦化	zhong xiao dun hua	station	6.73
忠孝敦化站	zhong xiao dun hua zhan	station	4.37
忠孝新生	zhong xiao xin sheng	station	4.81
忠孝新生站	zhong xiao xin sheng zhan	station	2.64
忠義	zhong yi	station	33.87
忠義站	zhong yi zhan	station	0.28
文德	wen de	station	15.83
文德站	wen de zhan	station	0.66
新北投	xin bei tou	station	9.21
新北投站	xin bei tou zhan	station	2.16
新埔	xin pu	station	28.47
新埔站	xin pu zhan	station	3.87
新店	xin dian	station	141.98
新店區公所	xin dian qu gong suo	station	1.08
新店區公所站	xin dian qu gong suo zhan	station	0.42
新店站	xin dian zhan	station	1.43
新莊	xin zhuang	station	257.13
新莊站	xin zhuang zhan	station	1.21
昆陽	kun yang	station	4.87
昆陽站	kun yang zhan	station	1.43
明德	ming de	station	47.68
明德站	ming de zhan	station	0.52
景安	jing an	station	9.14
景安站	jing an zhan	station	3.11
景美	jing mei	station	38.99
景美站	jing mei zhan	station	1.14
木柵	mu zha	station	30.88
木柵站	mu zha zhan	station	0.72
東湖	dong hu	station	19.65
東湖站	dong hu zhan	station	0.60
東門	dong men	station	47.70
東門站	dong men zhan	station	2.92
松山	song shan	station	183.85
松山機場	song shan ji chang	station	26.64
松山機場站	song shan ji chang zhan	station	0.51
松山站	song shan zhan	station	2.40
松江南京	song jiang nan jing	station	5.79
松江南京站	song jiang nan jing zhan	station	3.03
板橋	ban qiao	station	221.51
板橋站	ban qiao zhan	station	4.95
民權西路	min quan xi lu	station	4.53
民權西路站	min quan xi lu zhan	station	2.14
永安市場	yong an shi chang	station	5.33
永安市場站	yong an shi chang zhan	station	2.52
永寧	yong ning	station	8.34
永寧站	yong ning zhan	station	1.11
永春	yong chun	station	13.57
永春站	yong chun zhan	station	1.34
江子翠	jiang zi cui	station	6.38
江子翠站	jiang zi cui zhan	station	1.78
海山	hai shan	station	21.48
海山站	hai shan zhan	station	1.22
淡水	dan shui	station	241.35
淡水站	dan shui zhan	station	2.89
港墘	gang qi	station	3.76
港墘	gang qian	station	3.76
港墘站	gang qian zhan	station	1.16
石牌	shi pai	station	15.16
石牌站	shi pai zhan	station	1.60
科技大樓	ke ji da lou	station	13.84
科技大樓站	ke ji da lou zhan	station	2.36
竹圍	zhu wei	station	13.05
竹圍站	zhu wei zhan	station	0.41
紅樹林	hong shu lin	station	34.51
紅樹林站	hong shu lin zhan	station	1.32
芝山	zhi shan	station	9.50
芝山站	zhi shan zhan	station	1.81
菜寮	cai liao	station	2.38
菜寮站	cai liao zhan	station	0.49
萬芳社區	wan fang she qu	station	0.53
萬芳社區站	wan fang she qu zhan	station	0.14
萬芳醫院	wan fang yi yuan	station	7.77
萬芳醫院站	wan fang yi yuan zhan	station	0.31
萬隆	wan long	station	10.13
萬隆站	wan long zhan	station	0.89
葫洲	hu zhou	station	0.82
葫洲站	hu zhou zhan	station	0.65
蘆洲	lu zhou	station	36.32
蘆洲站	lu zhou zhan	station	0.80
行天宮	xing tian gong	station	12.76
行天宮站	xing tian gong zhan	station	2.55
西湖	xi hu	station	49.42
西湖站	xi hu zhan	station	1.05
西門	xi men	station	174.35
西門站	xi men zhan	station	4.77
象山	xiang shan	station	14.09
象山站	xiang shan zhan	station	1.13
輔大	fu da	station	44.75
輔大站	fu da zhan	station	0.77
辛亥	xin hai	station	25.00
辛亥站	xin hai zhan	station	0.22
迴龍	hui long	station	5.08
迴龍站	hui long zhan	station	0.94
關渡	guan du	station	27.25
關渡站	guan du zhan	station	0.85
雙連	shuang lian	station	16.71
雙連站	shuang lian zhan	station	4.17
頂埔	ding pu	station	4.08
頂埔站	ding pu zhan	station	0.88
頂溪	ding xi	station	9.40
頂溪站	ding xi zhan	station	3.21
頭前庄	tou qian zhuang	station	0.77
頭前庄站	tou qian zhuang zhan	station	0.45
麟光	lin guang	station	1.52
麟光站	lin guang zhan	station	0.75
龍山寺	long shan si	station	22.62
龍山寺站	long shan si zhan	station	1.96
中山區	zhong shan qu	district	47.27
中正區	zhong zheng qu	district	34.69
信義區	xin yi qu	district	75.95
內湖區	nei hu qu	district	16.38
北投區	bei tou qu	district	12.53
南港區	nan gang qu	district	9.45
台北市	tai bei shi	district	744.22
士林區	shi lin qu	district	14.22
大同區	da tong qu	district	14.16
大安區	da an qu	district	56.17
文山區	wen shan qu	district	20.02
松山區	song shan qu	district	29.56
臺北市	tai bei shi	district	221.00
萬華區	wan hua qu	district	14.11
一德里	yi de li	village	0.09
三張里	san zhang li	village	0.02
三愛里	san ai li	village	0.03
三民里	san min li	village	0.37
三犁里	san li li	village	0.00
三玉里	san yu li	village	0.05
三重里	san chong li	village	0.06
下埤里	xia pi li	village	0.03
中南里	zhong nan li	village	0.05
中原里	zhong yuan li	village	0.23
中吉里	zhong ji li	village	0.00
中和里	zhong he li	village	0.48
中坡里	zhong po li	village	0.05
中央里	zhong yang li	village	0.29
中山里	zhong shan li	village	1.03
中崙里	zhong lun li	village	0.10
中庄里	zhong zhuang li	village	0.22
中庸里	zhong yong li	village	0.00
中心里	zhong xin li	village	0.20
中正里	zhong zheng li	village	0.54
中研里	zhong yan li	village	0.01
中興里	zhong xing li	village	1.09
中華里	zhong hua li	village	0.23
中行里	zhong xing li	village	0.00
九如里	jiu ru li	village	0.13
五全里	wu quan li	village	0.04
五分里	wu fen li	village	0.00
五常里	wu chang li	village	0.07
仁勇里	ren yong li	village	0.01
仁德里	ren de li	village	0.21
仁愛里	ren ai li	village	0.45
仁慈里	ren ci li	village	0.02
仁福里	ren fu li	village	0.13
介壽里	jie shou li	village	0.13
住安里	zhu an li	village	0.02
保安里	bao an li	village	0.23
保德里	bao de li	village	0.06
光信里	guang xin li	village	0.07
光復里	guang fu li	village	0.51
光明里	guang ming li	village	0.59
光武里	guang wu li	village	0.12
光能里	guang neng li	village	0.14
內湖里	nei hu li	village	0.03
內溝里	nei gou li	village	0.02
全安里	quan an li	village	0.03
全德里	quan de li	village	0.00
八仙里	ba xian li	village	0.04
公館里	gong guan li	village	0.29
六合里	liu he li	village	0.28
六藝里	liu yi li	village	0.00
凌霄里	ling xiao li	village	0.00
前港里	qian gang li	village	0.05
劍潭里	jian tan li	village	0.09
力行里	li xing li	village	0.09
北安里	bei an li	village	0.04
南港里	nan gang li	village	0.29
南湖里	nan hu li	village	0.00
南福里	nan fu li	village	0.02
南芳里	nan fang li	village	0.00
南門里	nan men li	village	0.34
博嘉里	bo jia li	village	0.15
古莊里	gu zhuang li	village	0.02
古風里	gu feng li	village	0.25
合成里	he cheng li	village	0.07
吉仁里	ji ren li	village	0.01
吉利里	ji li li	village	0.01
吉慶里	ji qing li	village	0.13
吉祥里	ji xiang li	village	0.08
名山里	ming shan li	village	0.05
和安里	he an li	village	0.06
和平里	he ping li	village	0.51
和德里	he de li	village	0.36
嘉興里	jia xing li	village	0.14
四維里	si wei li	village	0.07
四育里	si yu li	village	0.00
國慶里	guo qing li	village	0.06
國業里	guo ye li	village	0.00
國順里	guo shun li	village	0.07
圓山里	yuan shan li	village	0.09
埤頭里	pi tou li	village	0.23
壽德里	shou de li	village	0.06
大仁里	da ren li	village	0.07
大佳里	da jia li	village	0.03
大同里	da tong li	village	0.40
大學里	da xue li	village	1.26
大屯里	da tun li	village	0.29
大有里	da you li	village	0.07
大湖里	da hu li	village	0.19
大直里	da zhi li	village	0.11
大道里	da dao li	village	0.02
天和里	tian he li	village	0.02
天壽里	tian shou li	village	0.01
天山里	tian shan li	village	0.04
天母里	tian mu li	village	0.23
天玉里	tian yu li	village	0.15
天祿里	tian lu li	village	0.01
天福里	tian fu li	village	0.03
奇岩里	qi yan li	village	0.03
孝德里	xiao de li	village	0.01
學府里	xue fu li	village	0.12
安平里	an ping li	village	0.17
安康里	an kang li	village	0.07
安泰里	an tai li	village	0.06
安湖里	an hu li	village	0.02
富光里	fu guang li	village	0.01
富台里	fu tai li	village	0.03
富民里	fu min li	village	0.05
富水里	fu shui li	village	0.02
富泰里	fu tai li	village	0.03
富洲里	fu zhou li	village	0.03
富福里	fu fu li	village	0.01
富臺里	fu tai li	village	0.00
富錦里	fu jin li	village	0.03
寶湖里	bao hu li	village	0.08
尊賢里	zun xian li	village	0.00
岩山里	yan shan li	village	0.04
平等里	ping deng li	village	0.85
幸市里	xing shi li	village	0.04
幸福里	xing fu li	village	0.73
康寧里	kang ning li	village	0.00
康樂里	kang le li	village	0.36
廈安里	xia an li	village	0.07
廣居里	guang ju li	village	0.01
延平里	yan ping li	village	0.15
建倫里	jian lun li	village	0.00
建功里	jian gong li	village	0.12
建國里	jian guo li	village	0.26
建安里	jian an li	village	0.11
建明里	jian ming li	village	0.00
建民里	jian min li	village	0.03
建泰里	jian tai li	village	0.03
後港里	hou gang li	village	0.09
復勢里	fu shi li	village	0.04
復建里	fu jian li	village	0.03
復源里	fu yuan li	village	0.01
復盛里	fu sheng li	village	0.06
復華里	fu hua li	village	0.17
德安里	de an li	village	0.14
德華里	de hua li	village	0.01
德行里	de xing li	village	0.16
忠勤里	zhong qin li	village	0.40
忠德里	zhong de li	village	0.00
忠誠里	zhong cheng li	village	0.10
忠貞里	zhong zhen li	village	0.07
忠順里	zhong shun li	village	0.14
恆安里	heng an li	village	0.16
惠安里	hui an li	village	0.07
愛國里	ai guo li	village	0.02
慈祐里	ci you li	village	0.03
成功里	cheng gong li	village	0.61
成福里	cheng fu li	village	0.04
承德里	cheng de li	village	0.06
指南里	zhi nan li	village	0.20
振華里	zhen hua li	village	0.07
揚雅里	yang ya li	village	0.01
政大里	zheng da li	village	0.06
敦化里	dun hua li	village	0.03
敦厚里	dun hou li	village	0.01
敦安里	dun an li	village	0.00
敦煌里	dun huang li	village	0.02
文化里	wen hua li	village	1.02
文北里	wen bei li	village	0.03
文林里	wen lin li	village	0.19
文盛里	wen sheng li	village	0.04
文祥里	wen xiang li	village	0.01
斯文里	si wen li	village	0.50
新仁里	xin ren li	village	0.23
新光里	xin guang li	village	0.35
新和里	xin he li	village	0.13
新喜里	xin xi li	village	0.00
新安里	xin an li	village	0.15
新富里	xin fu li	village	0.11
新庄里	xin zhuang li	village	0.25
新忠里	xin zhong li	village	0.09
新東里	xin dong li	village	0.16
新營里	xin ying li	village	0.03
新生里	xin sheng li	village	0.22
新益里	xin yi li	village	0.04
新福里	xin fu li	village	0.06
新聚里	xin ju li	village	0.14
新起里	xin qi li	village	0.00
新龍里	xin long li	village	0.02
日善里	ri shan li	village	0.00
日祥里	ri xiang li	village	0.03
昌隆里	chang long li	village	0.09
明勝里	ming sheng li	village	0.02
明湖里	ming hu li	village	0.13
明義里	ming yi li	village	0.06
明興里	ming xing li	village	0.19
星明里	xing ming li	village	0.01
景仁里	jing ren li	village	0.00
景勤里	jing qin li	village	0.00
景慶里	jing qing li	village	0.03
景新里	jing xin li	village	0.07
景星里	jing xing li	village	0.05
景東里	jing dong li	village	0.03
景美里	jing mei li	village	0.04
景聯里	jing lian li	village	0.00
景華里	jing hua li	village	0.02
景行里	jing xing li	village	0.10
晴光里	qing guang li	village	0.06
智仁里	zhi ren li	village	0.17
朝陽里	chao yang li	village	0.57
木新里	mu xin li	village	0.02
木柵里	mu zha li	village	0.15
朱園里	zhu yuan li	village	0.02
朱崙里	zhu lun li	village	0.00
朱馥里	zhu fu li	village	0.00
東光里	dong guang li	village	0.11
東勢里	dong shi li	village	0.34
東山里	dong shan li	village	0.41
東新里	dong xin li	village	0.02
東昌里	dong chang li	village	0.15
東明里	dong ming li	village	0.11
東榮里	dong rong li	village	0.04
東湖里	dong hu li	village	0.10
東華里	dong hua li	village	0.11
東門里	dong men li	village	0.53
松光里	song guang li	village	0.13
松友里	song you li	village	0.01
松基里	song ji li	village	0.01
松江里	song jiang li	village	0.07
松隆里	song long li	village	0.00
板溪里	ban xi li	village	0.05
林泉里	lin quan li	village	0.07
林興里	lin xing li	village	0.04
柳鄉里	liu xiang li	village	0.03
桃源里	tao yuan li	village	0.35
梅花里	mei hua li	village	0.05
榮光里	rong guang li	village	0.07
榮德里	rong de li	village	0.00
榮華里	rong hua li	village	0.06
樂康里	le kang li	village	0.01
樟文里	zhang wen li	village	0.05
樟新里	zhang xin li	village	0.12
樟林里	zhang lin li	village	0.17
樟樹里	zhang shu li	village	0.03
樟腳里	zhang jiao li	village	0.01
正和里	zheng he li	village	0.01
正守里	zheng shou li	village	0.00
正得里	zheng de li	village	0.00
正義里	zheng yi li	village	0.20
正聲里	zheng sheng li	village	0.05
民安里	min an li	village	0.11
民有里	min you li	village	0.13
民權里	min quan li	village	0.28
民炤里	min zhao li	village	0.03
民福里	min fu li	village	0.03
民輝里	min hui li	village	0.03
水源里	shui yuan li	village	0.26
永倫里	yong lun li	village	0.02
永功里	yong gong li	village	0.01
永吉里	yong ji li	village	0.07
永和里	yong he li	village	0.22
永安里	yong an li	village	0.63
永康里	yong kang li	village	0.13
永昌里	yong chang li	village	0.07
永明里	yong ming li	village	0.05
永春里	yong chun li	village	0.07
永樂里	yong le li	village	0.09
永欣里	yong xin li	village	0.00
永福里	yong fu li	village	0.75
江寧里	jiang ning li	village	0.01
江山里	jiang shan li	village	0.05
河堤里	he ti li	village	0.05
泉源里	quan yuan li	village	0.12
法治里	fa zhi li	village	0.01
泰和里	tai he li	village	0.17
洲子里	zhou zi li	village	0.00
洲美里	zhou mei li	village	0.17
清江里	qing jiang li	village	0.07
清白里	qing bai li	village	0.04
港墘里	gang qian li	village	0.15
港富里	gang fu li	village	0.00
港華里	gang hua li	village	0.02
港都里	gang dou li	village	0.01
湖元里	hu yuan li	village	0.01
湖山里	hu shan li	village	0.26
湖濱里	hu bin li	village	0.06
湖田里	hu tian li	village	0.15
湖興里	hu xing li	village	0.06
溪山里	xi shan li	village	0.15
溫泉里	wen quan li	village	0.20
玉成里	yu cheng li	village	0.05
玉泉里	yu quan li	village	0.02
瑞光里	rui guang li	village	0.10
瑞陽里	rui yang li	village	0.00
百福里	bai fu li	village	0.09
百齡里	bai ling li	village	0.01
石潭里	shi tan li	village	0.02
石牌里	shi pai li	village	0.07
碧山里	bi shan li	village	0.01
社園里	she yuan li	village	0.01
社子里	she zi li	village	0.07
社新里	she xin li	village	0.01
福中里	fu zhong li	village	0.05
福住里	fu zhu li	village	0.04
福佳里	fu jia li	village	0.04
福安里	fu an li	village	0.36
福德里	fu de li	village	0.37
福志里	fu zhi li	village	0.01
福成里	fu cheng li	village	0.03
福星里	fu xing li	village	0.07
福林里	fu lin li	village	0.16
福興里	fu xing li	village	0.40
福華里	fu hua li	village	0.02
福音里	fu yin li	village	0.04
福順里	fu shun li	village	0.04
秀山里	xiu shan li	village	0.14
秀湖里	xiu hu li	village	0.00
稻香里	dao xiang li	village	0.02
立賢里	li xian li	village	0.01
立農里	li nong li	village	0.02
精忠里	jing zhong li	village	0.04
糖廍里	tang bu li	village	0.03
紫星里	zi xing li	village	0.05
紫陽里	zi yang li	village	0.00
紫雲里	zi yun li	village	0.03
綠堤里	lv ti li	village	0.00
網溪里	wang xi li	village	0.07
美仁里	mei ren li	village	0.30
群英里	qun ying li	village	0.00
群賢里	qun xian li	village	0.01
義信里	yi xin li	village	0.02
義安里	yi an li	village	0.01
義村里	yi cun li	village	0.01
翠山里	cui shan li	village	0.01
老師里	lao shi li	village	0.06
老泉里	lao quan li	village	0.41
聖山里	sheng shan li	village	0.01
聚盛里	ju sheng li	village	0.02
聚葉里	ju ye li	village	0.00
聯成里	lian cheng li	village	0.01
臥龍里	wo long li	village	0.01
臨江里	lin jiang li	village	0.06
臨溪里	lin xi li	village	0.03
自強里	zi qiang li	village	0.31
至聖里	zhi sheng li	village	0.07
興亞里	xing ya li	village	0.00
興光里	xing guang li	village	0.01
興安里	xing an li	village	0.43
興家里	xing jia li	village	0.03
興得里	xing de li	village	0.05
興德里	xing de li	village	0.03
興旺里	xing wang li	village	0.06
興昌里	xing chang li	village	0.21
興業里	xing ye li	village	0.07
興泰里	xing tai li	village	0.06
興福里	xing fu li	village	0.10
興豐里	xing feng li	village	0.03
興邦里	xing bang li	village	0.15
興隆里	xing long li	village	0.17
興雅里	xing ya li	village	0.02
舊佳里	jiu jia li	village	0.01
舊庄里	jiu zhuang li	village	0.01
舊莊里	jiu zhuang li	village	0.15
芝山里	zhi shan li	village	0.03
芳和里	fang he li	village	0.00
莊敬里	zhuang jing li	village	0.15
菁山里	jing shan li	village	0.06
菜園里	cai yuan li	village	0.40
華中里	hua zhong li	village	0.00
華江里	hua jiang li	village	0.04
華聲里	hua sheng li	village	0.08
華興里	hua xing li	village	0.21
萬和里	wan he li	village	0.15
萬壽里	wan shou li	village	0.11
萬年里	wan nian li	village	0.07
萬有里	wan you li	village	0.05
萬盛里	wan sheng li	village	0.02
萬祥里	wan xiang li	village	0.06
萬福里	wan fu li	village	0.04
萬美里	wan mei li	village	0.27
萬興里	wan xing li	village	0.13
萬芳里	wan fang li	village	0.07
萬隆里	wan long li	village	0.03
萬龍里	wan long li	village	0.00
葫東里	hu dong li	village	0.04
葫洲里	hu zhou li	village	0.00
葫蘆里	hu lu li	village	0.45
蓬萊里	peng lai li	village	0.02
藍橋里	lan qiao li	village	0.01
蘆洲里	lu zhou li	village	0.06
蘭興里	lan xing li	village	0.01
蘭雅里	lan ya li	village	0.02
虎嘯里	hu xiao li	village	0.02
螢圃里	ying pu li	village	0.02
螢雪里	ying xue li	village	0.01
行仁里	xing ren li	village	0.00
行善里	xing shan li	village	0.00
行孝里	xing xiao li	village	0.01
行政里	xing zheng li	village	0.16
裕民里	yu min li	village	0.17
西安里	xi an li	village	0.25
西康里	xi kang li	village	0.06
西新里	xi xin li	village	0.02
西村里	xi cun li	village	0.05
西湖里	xi hu li	village	0.29
西門里	xi men li	village	0.28
試院里	shi yuan li	village	0.07
誠安里	cheng an li	village	0.00
豐年里	feng nian li	village	0.06
車層里	che ceng li	village	0.01
通化里	tong hua li	village	0.03
通安里	tong an li	village	0.00
週美里	zhou mei li	village	0.01
鄰江里	lin jiang li	village	0.03
重慶里	chong qing li	village	0.03
重陽里	chong yang li	village	0.04
金泰里	jin tai li	village	0.00
金湖里	jin hu li	village	0.05
金瑞里	jin rui li	village	0.04
金龍里	jin long li	village	0.29
銘德里	ming de li	village	0.00
錦安里	jin an li	village	0.09
錦德里	jin de li	village	0.01
錦泰里	jin tai li	village	0.00
錦華里	jin hua li	village	0.07
長安里	chang an li	village	0.22
長春里	chang chun li	village	0.13
開明里	kai ming li	village	0.07
關渡里	guan du li	village	0.06
陽明里	yang ming li	village	0.10
隆和里	long he li	village	0.01
雅祥里	ya xiang li	village	0.01
集英里	ji ying li	village	0.02
雙和里	shuang he li	village	0.04
雙園里	shuang yuan li	village	0.09
雙連里	shuang lian li	village	0.07
青山里	qing shan li	village	0.18
頂東里	ding dong li	village	0.03
頂碩里	ding shuo li	village	0.05
順興里	shun xing li	village	0.14
騰雲里	teng yun li	village	0.06
鳳鳴里	feng ming li	village	0.07
鴻福里	hong fu li	village	0.02
鵬程里	peng cheng li	village	0.04
麗山里	li shan li	village	0.02
黎元里	li yuan li	village	0.02
黎和里	li he li	village	0.07
黎孝里	li xiao li	village	0.00
黎安里	li an li	village	0.08
黎平里	li ping li	village	0.01
黎忠里	li zhong li	village	0.01
黎明里	li ming li	village	0.21
黎順里	li shun li	village	0.01
龍光里	long guang li	village	0.00
龍圖里	long tu li	village	0.03
龍坡里	long po li	village	0.03
龍安里	long an li	village	0.31
龍泉里	long quan li	village	0.12
龍洲里	long zhou li	village	0.01
龍淵里	long yuan li	village	0.04
龍生里	long sheng li	village	0.02
龍田里	long tian li	village	0.07
龍福里	long fu li	village	0.06
龍興里	long xing li	village	0.15
龍門里	long men li	village	0.10
龍陣里	long zhen li	village	0.01
龍雲里	long yun li	village	0.04
龍飛里	long fei li	village	0.00
一壽街	yi shou jie	road	0.19
一德街	yi de jie	road	0.04
一心街	yi xin jie	road	0.05
一心路	yi xin lu	road	0.52
一本街	yi ben jie	road	0.05
一江街	yi jiang jie	road	0.16
七星街	qi xing jie	road	0.22
三元街	san yuan jie	road	0.36
三合街	san he jie	road	0.10
三民路	san min lu	road	9.21
三水街	san shui jie	road	0.57
三福街	san fu jie	road	0.13
三重路	san chong lu	road	0.24
下半嶺產業道路	xia ban ling chan ye dao lu	road	0.01
下崙路	xia lun lu	road	0.02
下東勢產業道路	xia dong shi chan ye dao lu	road	0.03
下樹林街	xia shu lin jie	road	0.00
中七街	zhong qi jie	road	0.00
中二十一路	zhong er shi yi lu	road	0.00
中十一街	zhong shi yi jie	road	0.01
中十七路	zhong shi qi lu	road	0.00
中十九路	zhong shi jiu lu	road	0.00
中十二路	zhong shi er lu	road	0.00
中十五路	zhong shi wu lu	road	0.00
中十六路	zhong shi liu lu	road	0.00
中十四街	zhong shi si jie	road	0.00
中南街	zhong nan jie	road	0.27
中原街	zhong yuan jie	road	0.52
中和街	zhong he jie	road	2.18
中和街錫安巷	zhong he jie xi an xiang	road	0.01
中坡北路	zhong po bei lu	road	0.11
中坡南路	zhong po nan lu	road	0.14
中央北路	zhong yang bei lu	road	0.59
中央南路	zhong yang nan lu	road	0.25
中山北路	zhong shan bei lu	road	15.34
中山南路	zhong shan nan lu	road	5.09
中山路	zhong shan lu	road	47.97
中山高汐五高架道路	zhong shan gao xi wu gao jia dao lu	road	0.00
中山高速公路	zhong shan gao su gong lu	road	3.96
中崙路	zhong lun lu	road	0.08
中庸一路	zhong yong yi lu	road	0.00
中庸二路	zhong yong er lu	road	0.00
中庸五路	zhong yong wu lu	road	0.01
中庸里大同街	zhong yong li da tong jie	road	0.00
中心街	zhong xin jie	road	1.26
中正東路	zhong zheng dong lu	road	1.38
中正產業道路	zhong zheng chan ye dao lu	road	0.00
中正街	zhong zheng jie	road	0.48
中正路	zhong zheng lu	road	53.14
